Year,Team,PTS,FGA,3PA,3P%,AST,TOV,3P_Rate,Pace,ORtg,Era
1992,MIA,105.0,86.1,9.2,0.342,21.3,16.8,0.10685249709639953,115.39599999999999,0.9099102221914106,1990s
1992,MIL,105.0,88.0,12.3,0.369,24.6,16.5,0.13977272727272727,115.80799999999999,0.9066731141199227,1990s
1992,SAC,104.3,87.7,8.2,0.353,23.9,16.6,0.09350057012542758,115.916,0.8997895027433659,1990s
1992,SAS,104.0,86.5,4.9,0.292,24.5,16.0,0.05664739884393064,114.556,0.9078529278256923,1990s
1992,LAC,102.9,86.3,6.1,0.289,25.0,15.5,0.07068366164542295,113.724,0.9048222011184974,1990s
1992,WAS,102.4,89.0,6.5,0.272,24.5,15.3,0.07303370786516854,114.816,0.8918617614269788,1990s
1992,HOU,102.0,84.1,11.7,0.343,25.1,16.8,0.13912009512485138,111.72399999999999,0.9129640900791236,1990s
1992,PHI,101.9,82.5,8.3,0.334,21.4,15.1,0.10060606060606062,109.744,0.9285245662633037,1990s
1992,NYK,101.6,84.7,7.5,0.325,26.0,15.1,0.0885478158205431,110.8,0.9169675090252707,1990s
1992,ORL,101.6,86.6,7.4,0.324,21.9,16.9,0.08545034642032334,115.68799999999999,0.8782241891985341,1990s
1992,MIN,100.5,89.5,4.8,0.32,24.7,14.1,0.053631284916201116,113.544,0.8851194250686959,1990s
1992,LAL,100.4,85.1,5.4,0.267,22.0,13.3,0.06345475910693303,110.63199999999999,0.9075131969050547,1990s
1992,DEN,99.7,90.0,5.1,0.301,18.9,17.6,0.056666666666666664,118.68799999999999,0.8400175249393369,1990s
1992,DET,98.9,83.7,6.4,0.314,23.2,14.8,0.07646356033452807,109.808,0.9006629753752003,1990s
1992,DAL,97.6,86.6,9.7,0.336,19.9,14.7,0.11200923787528869,112.036,0.8711485593916241,1990s
1993,PHX,113.4,86.5,13.4,0.363,25.5,16.6,0.15491329479768787,116.74000000000001,0.9713894123693678,1990s
1993,CHA,110.1,87.9,6.5,0.326,26.4,16.2,0.07394766780432309,116.86000000000001,0.942153003594044,1990s
1993,GSW,109.9,88.0,10.4,0.35,24.5,17.7,0.11818181818181818,118.944,0.923964218455744,1990s
1993,POR,108.5,89.5,10.3,0.326,24.0,14.8,0.11508379888268157,117.984,0.9196162191483591,1990s
1993,OKC,108.3,87.1,7.4,0.357,23.2,15.5,0.0849598163030999,114.69999999999999,0.944202266782912,1990s
1993,SAC,107.9,88.6,9.6,0.332,25.3,16.6,0.10835214446952596,118.31199999999998,0.9119954019879642,1990s
1993,IND,107.8,85.6,9.6,0.326,26.1,15.3,0.11214953271028037,113.79199999999999,0.9473425196850395,1990s
1993,CLE,107.7,84.0,9.0,0.381,28.6,13.7,0.10714285714285714,109.052,0.9876022448006455,1990s
1993,ATL,107.5,88.7,13.1,0.355,25.4,16.3,0.14768883878241262,116.924,0.919400636310766,1990s
1993,LAC,107.1,89.4,6.0,0.271,27.3,16.3,0.06711409395973154,117.36,0.9125766871165644,1990s
1993,UTA,106.2,83.3,5.0,0.314,26.5,15.5,0.060024009603841535,112.176,0.9467265725288831,1990s
1993,ORL,105.5,81.8,10.8,0.357,23.8,17.4,0.13202933985330076,112.576,0.9371446844798181,1990s
1993,SAS,105.5,82.5,8.4,0.341,24.5,15.0,0.10181818181818182,110.084,0.9583590712546782,1990s
1993,CHI,105.2,87.9,8.2,0.365,26.0,13.5,0.09328782707622296,111.872,0.9403604118993135,1990s
1993,DEN,105.2,88.8,5.5,0.304,21.2,17.2,0.061936936936936936,118.672,0.8864770122691116,1990s
1993,PHI,104.3,86.3,11.5,0.351,24.9,16.6,0.13325608342989573,115.0,0.9069565217391304,1990s
1993,LAL,104.2,85.3,7.6,0.299,24.5,15.4,0.08909730363423211,113.06400000000001,0.9216019245736927,1990s
1993,HOU,104.0,82.2,13.1,0.361,25.8,15.8,0.15936739659367397,109.22,0.9522065555759018,1990s
1993,BOS,103.7,86.5,4.7,0.287,24.4,14.3,0.05433526011560694,111.05199999999999,0.9337967798868999,1990s
1993,MIA,103.6,83.5,11.5,0.354,20.6,15.7,0.1377245508982036,112.488,0.9209871275158239,1990s
1993,BKN,102.8,86.4,6.0,0.318,22.8,16.5,0.06944444444444443,115.0,0.8939130434782608,1990s
1993,MIL,102.3,84.4,11.4,0.333,25.4,16.6,0.13507109004739337,112.17600000000002,0.9119597774925116,1990s
1993,WAS,101.9,86.2,7.0,0.301,25.7,16.1,0.08120649651972157,113.608,0.8969438771917471,1990s
1993,NYK,101.6,84.1,7.4,0.32,25.9,15.8,0.08799048751486327,112.30799999999999,0.9046550557395733,1990s
1993,DET,100.6,87.9,11.1,0.322,23.7,14.0,0.12627986348122866,112.41600000000001,0.8948904070594932,1990s
1993,DAL,99.3,88.7,10.2,0.338,20.5,17.8,0.1149943630214205,118.16,0.8403859174001355,1990s
1993,MIN,98.1,79.6,6.9,0.292,24.4,17.3,0.08668341708542715,108.95599999999999,0.9003634494658395,1990s
1994,PHX,108.2,86.3,12.7,0.33,27.6,15.9,0.14716106604866744,114.56400000000001,0.9444502636081142,1990s
1994,GSW,107.9,87.1,10.5,0.339,26.8,17.5,0.12055109070034443,116.964,0.9225060702438358,1990s
